real-0.7;predict-0.7;real-0.8;predict-0.8;real-0.9;predict-0.9
100;100;100;100;100;100
100;99;100;99;100;99
64;58;64;58;64;58
52;52;52;52;52;52
85;61;85;61;85;61
53;58;53;58;53;58
95;95;95;92;95;92
88;89;88;89;88;89
98;93;98;93;98;93
93;92;93;90;93;90
95;95;95;95;95;95
95;95;95;95;95;95
51;51;51;51;51;51
100;96;100;96;100;96
85;87;85;89;85;89
63;76;63;76;63;76
99;96;99;96;99;96
90;87;90;95;90;95
77;76;77;74;77;74
42;42;42;42;42;42
67;69;67;69;67;69
86;84;86;84;86;84
60;42;60;60;60;60
62;58;62;58;62;58
49;49;49;49;49;49
76;92;76;90;76;90
100;100;100;100;100;100
75;66;75;54;75;54
85;85;85;85;85;85
52;58;52;58;52;58
100;95;100;92;100;92
23;23;23;23;23;23
78;77;78;75;78;75
95;89;95;88;95;88
96;92;96;95;96;95
95;91;95;91;95;91
98;91;98;91;98;91
56;56;56;56;56;56
41;39;41;46;41;46
68;69;68;69;68;69
95;95;95;95;95;95
93;93;93;93;93;93
63;63;63;63;63;63
62;62;62;62;62;62
62;87;62;61;62;61
30;30;30;30;30;30
89;89;89;89;89;89
71;67;71;67;71;67
16;16;16;16;16;16
41;40;41;40;41;40
63;63;63;63;63;63
95;92;95;95;95;95
92;76;92;92;92;92
81;81;81;81;81;81
85;84;85;84;85;84
95;92;95;89;95;89
99;99;99;99;99;99
92;90;92;89;92;89
19;39;19;33;19;33
46;39;46;33;46;33
52;54;52;54;52;54
100;92;100;95;100;95
65;60;65;60;65;55
58;58;58;58;58;58
72;73;72;71;72;71
42;42;42;54;42;54
61;58;61;58;61;58
57;58;57;58;57;58
67;66;67;66;67;66
90;89;90;88;90;88
51;51;51;56;51;56
62;62;62;62;62;62
62;62;62;62;62;62
55;55;55;55;55;55
100;96;100;96;100;96
42;56;42;56;42;56
100;100;100;100;100;100
18;23;18;18;18;18
47;47;47;47;47;47
87;87;87;87;87;87
23;23;23;23;23;23
25;25;25;25;25;25
95;91;95;91;95;91
75;69;75;75;75;75
100;97;100;97;100;97
95;96;95;96;95;96
86;56;86;56;86;56
68;69;68;75;68;75
50;56;50;56;50;56
95;87;95;95;95;95
86;87;86;85;86;85
92;87;92;89;92;89
34;34;34;34;34;34
26;26;26;26;26;26
83;84;83;85;83;85
100;87;100;95;100;95
100;92;100;92;100;92
100;100;100;100;100;100
35;35;35;35;35;35
100;96;100;96;100;96
55;58;55;58;55;58
93;96;93;96;93;96
58;61;58;61;58;61
89;89;89;88;89;88
91;90;91;90;91;90
89;88;89;88;89;88
100;99;100;98;100;98
68;67;68;71;68;71
84;85;84;85;84;85
91;69;91;75;91;75
61;61;61;62;61;61
63;66;63;66;63;66
83;83;83;77;83;77
35;35;35;35;35;35
46;46;46;46;46;46
74;78;74;78;74;78
39;39;39;39;39;39
42;69;42;52;42;52
76;76;76;76;76;76
61;61;61;61;61;61
90;90;90;90;90;90
89;91;89;91;89;91
41;41;41;41;41;41
86;87;86;87;86;87
18;18;18;23;18;45
90;95;90;95;90;95
98;87;98;96;98;96
69;67;69;67;69;67
81;58;81;58;81;58
42;58;42;58;42;58
61;59;61;59;61;59
51;58;51;58;51;58
80;81;80;81;80;81
33;33;33;33;33;33
100;99;100;98;100;98
43;43;43;43;43;43
81;58;81;58;81;58
49;51;49;51;49;51
64;66;64;66;64;66
85;87;85;86;85;86
39;39;39;39;39;39
100;100;100;100;100;100
60;59;60;59;60;59
19;19;19;19;19;19
90;87;90;87;90;87
37;37;37;37;37;37
100;100;100;100;100;100
96;96;96;96;96;96
96;92;96;90;96;90
85;86;85;86;85;86
100;76;100;76;100;76
52;58;52;58;52;58
61;58;61;58;61;58
98;97;98;97;98;97
32;58;32;58;32;58
67;69;67;77;67;77
55;66;55;52;55;52
98;96;98;96;98;96
70;76;70;77;70;77
86;86;86;86;86;86
61;59;61;59;61;59
56;58;56;58;56;58
95;87;95;96;95;96
63;76;63;64;63;64
100;60;100;60;100;55
100;92;100;89;100;89
100;61;100;61;100;61
