real;predict
100;100
100;72
64;70
52;70
85;86
53;48
95;89
88;87
98;93
93;92
95;95
95;95
51;48
100;92
85;80
63;53
99;95
90;89
77;71
42;50
67;76
86;95
60;52
62;45
49;41
76;84
100;92
75;86
85;85
52;79
100;100
23;18
78;81
95;93
96;98
95;92
98;80
56;51
41;41
68;70
95;94
93;91
63;68
62;57
62;71
30;30
89;89
71;62
16;13
41;38
63;59
95;99
92;100
81;81
85;79
95;75
99;89
92;82
19;52
46;46
52;48
100;86
65;73
58;61
72;77
42;55
61;52
57;57
67;79
90;79
51;56
62;55
62;66
55;52
100;100
42;41
100;99
18;23
47;43
87;92
23;24
25;23
95;72
75;72
100;100
95;100
86;54
68;83
50;52
95;85
86;85
92;86
34;87
26;53
83;79
100;93
100;60
100;97
35;30
100;98
55;73
93;93
58;67
89;88
91;93
89;69
100;92
68;71
84;86
91;98
61;72
63;68
83;85
35;39
46;53
74;77
39;43
42;37
76;75
61;57
90;77
89;86
41;58
86;82
18;23
90;88
98;92
69;85
81;74
42;40
61;79
51;54
80;77
33;30
100;98
43;55
81;69
49;41
64;63
85;84
39;44
100;74
60;65
19;20
90;88
37;33
100;97
96;92
96;86
85;85
100;93
52;57
61;63
98;97
32;35
67;65
55;60
98;97
70;68
86;92
61;61
56;47
95;94
63;65
100;70
100;81
100;100
