real-0,7;predict-0,7;real-0,8;predict-0,8;real-0,9;predict-0,9;real;predict
100;85;100;78;100;80;100;99
100;73;100;78;100;80;100;95
64;73;64;70;64;74;64;59
52;71;52;71;52;72;52;54
85;72;85;66;85;69;85;83
53;62;53;61;53;63;53;61
95;80;95;79;95;77;95;89
88;76;88;76;88;73;88;88
98;76;98;70;98;73;98;92
93;82;93;79;93;79;93;87
95;85;95;78;95;77;95;95
95;84;95;79;95;78;95;95
51;56;51;63;51;61;51;51
100;79;100;80;100;78;100;90
85;78;85;82;85;78;85;86
63;64;63;65;63;66;63;67
99;81;99;82;99;82;99;93
90;82;90;81;90;76;90;90
77;76;77;75;77;79;77;78
42;50;42;56;42;56;42;42
67;69;67;67;67;68;67;69
86;83;86;82;86;81;86;85
60;53;60;56;60;60;60;50
62;68;62;65;62;68;62;59
49;62;49;65;49;66;49;49
76;80;76;79;76;78;76;79
100;84;100;77;100;78;100;99
75;77;75;79;75;78;75;76
85;79;85;77;85;76;85;84
52;64;52;65;52;65;52;62
100;84;100;82;100;81;100;90
23;52;23;61;23;63;23;26
78;83;78;82;78;83;78;83
95;81;95;81;95;80;95;91
96;82;96;78;96;79;96;91
95;67;95;66;95;66;95;78
98;7;98;66;98;67;98;82
56;76;56;77;56;77;56;64
41;58;41;64;41;67;41;37
68;68;68;65;68;67;68;68
95;82;95;80;95;80;95;94
93;83;93;81;93;79;93;92
63;63;63;61;63;64;63;63
62;73;62;71;62;71;62;65
62;77;62;73;62;75;62;70
30;51;30;54;30;56;30;30
89;84;89;82;89;79;89;86
71;72;71;74;71;74;71;73
16;37;16;53;16;56;16;16
41;48;41;49;41;50;41;43
63;64;63;65;63;70;63;63
95;85;95;82;95;84;95;92
92;79;92;81;92;76;92;86
81;78;81;74;81;73;81;81
85;83;85;81;85;83;85;85
95;80;95;82;95;80;95;92
99;73;99;76;99;74;99;96
92;81;92;84;92;81;92;90
19;49;19;56;19;56;19;31
46;50;46;54;46;54;46;36
52;65;52;66;52;68;52;52
100;85;100;83;100;82;100;92
65;65;65;69;65;69;65;61
58;66;58;66;58;66;58;60
72;76;72;76;72;75;72;69
42;79;42;77;42;77;42;57
61;64;61;68;61;67;61;60
57;65;57;67;57;68;57;59
67;59;67;61;67;62;67;65
90;80;90;81;90;80;90;85
51;77;51;76;51;79;51;57
62;69;62;68;62;68;62;62
62;76;62;78;62;77;62;63
55;60;55;60;55;60;55;53
100;79;100;79;100;79;100;91
42;79;42;78;42;79;42;62
100;82;100;75;100;74;100;99
18;56;18;61;18;55;18;20
47;59;47;66;47;65;47;47
87;86;87;82;87;81;87;88
23;43;23;50;23;54;23;24
25;66;25;69;25;70;25;31
95;75;95;73;95;73;95;86
75;77;75;78;75;76;75;74
100;87;100;79;100;77;100;98
95;85;95;84;95;83;95;94
86;80;86;77;86;78;86;65
68;81;68;80;68;79;68;70
50;82;50;79;50;79;50;63
95;82;95;83;95;80;95;90
86;79;86;79;86;81;86;83
92;79;92;77;92;78;92;87
34;59;34;64;34;65;34;35
26;42;26;45;26;46;26;28
83;82;83;83;83;82;83;82
100;80;100;78;100;79;100;90
100;77;100;74;100;74;100;87
100;85;100;84;100;83;100;96
35;48;35;62;35;62;35;37
100;83;100;83;100;82;100;94
55;62;55;61;55;63;55;58
93;86;93;84;93;82;93;93
58;75;58;73;58;74;58;67
89;82;89;83;89;84;89;89
91;87;91;85;91;85;91;90
89;71;89;66;89;66;89;87
100;88;100;85;100;86;100;94
68;76;68;73;68;77;68;68
84;78;84;74;84;74;84;85
91;78;91;73;91;74;91;83
61;69;61;68;61;67;61;61
63;68;63;70;63;68;63;62
83;81;83;80;83;80;83;80
35;42;35;49;35;51;35;36
46;61;46;64;46;65;46;47
74;74;74;72;74;71;74;72
39;54;39;61;39;56;39;39
42;70;42;70;42;72;42;59
76;67;76;66;76;64;76;70
61;57;61;61;61;55;61;59
90;74;90;72;90;76;90;89
89;72;89;72;89;71;89;87
41;79;41;79;41;78;41;55
86;80;86;78;86;77;86;84
18;69;18;73;18;69;18;21
90;73;90;69;90;70;90;77
98;82;98;81;98;79;98;92
69;79;69;76;69;75;69;72
81;65;81;67;81;65;81;70
42;59;42;61;42;62;42;54
61;61;61;62;61;60;61;60
51;66;51;65;51;67;51;58
80;68;80;71;80;68;80;79
33;59;33;63;33;69;33;36
100;85;100;81;100;81;100;95
43;53;43;57;43;58;43;43
81;61;81;66;81;66;81;65
49;60;49;62;49;62;49;54
64;63;64;64;64;64;64;62
85;82;85;79;85;79;85;85
39;53;39;59;39;61;39;39
100;78;100;76;100;78;100;98
60;61;60;64;60;65;60;60
19;36;19;39;19;45;19;19
90;77;90;75;90;74;90;87
37;69;37;73;37;72;37;47
100;86;100;81;100;81;100;98
96;88;96;83;96;85;96;94
96;84;96;80;96;79;96;89
85;87;85;82;85;81;85;86
100;69;100;69;100;67;100;80
52;61;52;61;52;61;52;57
61;56;61;61;61;58;61;61
98;81;98;79;98;81;98;90
32;69;32;64;32;64;32;56
67;78;67;77;67;78;67;73
55;74;55;75;55;75;55;68
98;88;98;85;98;84;98;95
70;77;70;78;70;78;70;71
86;87;86;83;86;84;86;86
61;60;61;61;61;60;61;61
56;64;56;67;56;67;56;59
95;81;95;77;95;79;95;91
63;77;63;77;63;78;63;70
100;67;100;69;100;70;100;70
100;82;100;83;100;82;100;93
100;64;100;72;100;71;100;60
