real-0,7;predict-0,7;real-0,8;predict-0,8;real-0,9;predict-0,9
100;85;100;78;100;80
100;73;100;78;100;80
64;73;64;70;64;74
52;71;52;71;52;72
85;72;85;66;85;69
53;62;53;61;53;63
95;80;95;79;95;77
88;76;88;76;88;73
98;76;98;70;98;73
93;82;93;79;93;79
95;85;95;78;95;77
95;84;95;79;95;78
51;56;51;63;51;61
100;79;100;80;100;78
85;78;85;82;85;78
63;64;63;65;63;66
99;81;99;82;99;82
90;82;90;81;90;76
77;76;77;75;77;79
42;50;42;56;42;56
67;69;67;67;67;68
86;83;86;82;86;81
60;53;60;56;60;60
62;68;62;65;62;68
49;62;49;65;49;66
76;80;76;79;76;78
100;84;100;77;100;78
75;77;75;79;75;78
85;79;85;77;85;76
52;64;52;65;52;65
100;84;100;82;100;81
23;52;23;61;23;63
78;83;78;82;78;83
95;81;95;81;95;80
96;82;96;78;96;79
95;67;95;66;95;66
98;7;98;66;98;67
56;76;56;77;56;77
41;58;41;64;41;67
68;68;68;65;68;67
95;82;95;80;95;80
93;83;93;81;93;79
63;63;63;61;63;64
62;73;62;71;62;71
62;77;62;73;62;75
30;51;30;54;30;56
89;84;89;82;89;79
71;72;71;74;71;74
16;37;16;53;16;56
41;48;41;49;41;50
63;64;63;65;63;70
95;85;95;82;95;84
92;79;92;81;92;76
81;78;81;74;81;73
85;83;85;81;85;83
95;80;95;82;95;80
99;73;99;76;99;74
92;81;92;84;92;81
19;49;19;56;19;56
46;50;46;54;46;54
52;65;52;66;52;68
100;85;100;83;100;82
65;65;65;69;65;69
58;66;58;66;58;66
72;76;72;76;72;75
42;79;42;77;42;77
61;64;61;68;61;67
57;65;57;67;57;68
67;59;67;61;67;62
90;80;90;81;90;80
51;77;51;76;51;79
62;69;62;68;62;68
62;76;62;78;62;77
55;60;55;60;55;60
100;79;100;79;100;79
42;79;42;78;42;79
100;82;100;75;100;74
18;56;18;61;18;55
47;59;47;66;47;65
87;86;87;82;87;81
23;43;23;50;23;54
25;66;25;69;25;70
95;75;95;73;95;73
75;77;75;78;75;76
100;87;100;79;100;77
95;85;95;84;95;83
86;80;86;77;86;78
68;81;68;80;68;79
50;82;50;79;50;79
95;82;95;83;95;80
86;79;86;79;86;81
92;79;92;77;92;78
34;59;34;64;34;65
26;42;26;45;26;46
83;82;83;83;83;82
100;80;100;78;100;79
100;77;100;74;100;74
100;85;100;84;100;83
35;48;35;62;35;62
100;83;100;83;100;82
55;62;55;61;55;63
93;86;93;84;93;82
58;75;58;73;58;74
89;82;89;83;89;84
91;87;91;85;91;85
89;71;89;66;89;66
100;88;100;85;100;86
68;76;68;73;68;77
84;78;84;74;84;74
91;78;91;73;91;74
61;69;61;68;61;67
63;68;63;70;63;68
83;81;83;80;83;80
35;42;35;49;35;51
46;61;46;64;46;65
74;74;74;72;74;71
39;54;39;61;39;56
42;70;42;70;42;72
76;67;76;66;76;64
61;57;61;61;61;55
90;74;90;72;90;76
89;72;89;72;89;71
41;79;41;79;41;78
86;80;86;78;86;77
18;69;18;73;18;69
90;73;90;69;90;70
98;82;98;81;98;79
69;79;69;76;69;75
81;65;81;67;81;65
42;59;42;61;42;62
61;61;61;62;61;60
51;66;51;65;51;67
80;68;80;71;80;68
33;59;33;63;33;69
100;85;100;81;100;81
43;53;43;57;43;58
81;61;81;66;81;66
49;60;49;62;49;62
64;63;64;64;64;64
85;82;85;79;85;79
39;53;39;59;39;61
100;78;100;76;100;78
60;61;60;64;60;65
19;36;19;39;19;45
90;77;90;75;90;74
37;69;37;73;37;72
100;86;100;81;100;81
96;88;96;83;96;85
96;84;96;80;96;79
85;87;85;82;85;81
100;69;100;69;100;67
52;61;52;61;52;61
61;56;61;61;61;58
98;81;98;79;98;81
32;69;32;64;32;64
67;78;67;77;67;78
55;74;55;75;55;75
98;88;98;85;98;84
70;77;70;78;70;78
86;87;86;83;86;84
61;60;61;61;61;60
56;64;56;67;56;67
95;81;95;77;95;79
63;77;63;77;63;78
100;67;100;69;100;70
100;82;100;83;100;82
100;64;100;72;100;71
